_id,JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_LOW_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_LOW_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
48,LONG BEACH,Los Angeles,2021,,7072024034,3515 1/2 IROQUOIS AVE,BRMD250660,BRMD250660,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-05-03,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.779086,-118.106193,"Iroquois Ave, Long Beach, California, 90815",95.430000000000007
49,LONG BEACH,Los Angeles,2021,,7431015021,2066 BALTIC AVE,BADD251358,BADD251358,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-01-14,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.794749,-118.212950,"2066 Baltic Ave, Long Beach, California, 90810",100
50,LONG BEACH,Los Angeles,2021,,7246009005,520 ORLENA AVE,BADD251629,BADD251629,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-03-22,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.773091,-118.130644,"520 Orlena Ave, Long Beach, California, 90814",100
51,LONG BEACH,Los Angeles,2021,,7125016010,466 60TH ST,BADD252197,BADD252197,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-10-18,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.863336,-118.186997,"466 E 60th St, Long Beach, California, 90805",99.579999999999998
52,LONG BEACH,Los Angeles,2021,,7182014005,4332 WHITEWOOD AVE,BADD252708,BADD252708,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-08-02,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.837101,-118.136040,"4332 Whitewood Ave, Long Beach, California, 90808",100
53,LONG BEACH,Los Angeles,2021,,7402010006,2301 COTA AVE,BRMD252769,BRMD252769,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-04-01,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.799095,-118.216560,"2301 Cota Ave, Long Beach, California, 90810",100
54,LONG BEACH,Los Angeles,2021,,7115022012,6280 CERRITOS AVE,BRMD252794,BRMD252794,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-06-22,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.868825,-118.178244,"6280 Cerritos Ave, Long Beach, California, 90805",100
55,LONG BEACH,Los Angeles,2021,,7183007007,4214 CHARLEMAGNE AVE,BNEW252822,BNEW252822,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-06-17,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.834706,-118.130530,"4214 Charlemagne Ave, Long Beach, California, 90808",100
56,LONG BEACH,Los Angeles,2021,,7127027007,440 57TH ST,BRMD253768,BRMD253768,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-04-19,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.859202,-118.187501,"440 E 57th St, Long Beach, California, 90805",99.579999999999998
57,LONG BEACH,Los Angeles,2021,,7258028005,685 CORONADO AVE,BRMD253994,BRMD253994,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-11-04,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.775143,-118.153533,"685 Coronado Ave, Long Beach, California, 90814",100
