Model,Accuracy,Precision,Recall,F1,ROC_AUC,Mean_Confidence,Threshold
From scratch (logistic),0.987775677378702,0.0206185567010309,0.5,0.0396039603960396,0.6979573824234019,0.0288273590165694,0.5
Scikit-learn (logistic),0.9991178323881538,0.2857142857142857,0.5,0.3636363636363636,0.896986508636994,0.0011519428535003,0.5
From scratch (logistic),0.987775677378702,0.020618556701030927,0.5,0.039603960396039604,0.6979573824234019,0.02882735901656944,0.5
Scikit-learn (logistic),0.9991178323881538,0.2857142857142857,0.5,0.36363636363636365,0.896986508636994,0.0011519428535003474,0.5
